match_id,versus,bowling_team,bowler,overs,maidens,runs_given,wickets,economy,zeros,fours_given,sixes_given,wides,noballs
19,India vs Pakistan,India,Axar Patel,2,0,11,1,5.50,6,0,1,0,0
20,Oman vs Scotland,Scotland,Mark Watt,4,0,25,1,6.25,8,2,0,2,0
20,Oman vs Scotland,Scotland,Brad Wheal,4,0,19,1,4.75,12,2,0,0,0
20,Oman vs Scotland,Scotland,Chris Sole,4,0,41,1,10.25,7,2,3,0,0
20,Oman vs Scotland,Scotland,Safyaan Sharif,4,0,40,2,10.00,6,6,0,0,0
20,Oman vs Scotland,Scotland,Michael Leask,3,0,21,0,7.00,8,1,1,1,0
20,Oman vs Scotland,Scotland,Chris Greaves,1,0,2,1,2.00,4,0,0,0,0
20,Oman vs Scotland,Oman,Bilal Khan,2.1,0,12,1,5.53,8,2,0,0,0
20,Oman vs Scotland,Oman,Shakeel Ahmed,2,0,23,0,11.50,5,2,2,0,0
20,Oman vs Scotland,Oman,Kaleemullah,2,0,17,0,8.50,6,2,1,0,0
20,Oman vs Scotland,Oman,Aqib Ilyas,3,0,41,1,13.66,6,4,3,0,0
20,Oman vs Scotland,Oman,Mehran Khan,1,0,16,1,16.00,3,1,1,1,0
20,Oman vs Scotland,Oman,Zeeshan Maqsood,2,0,22,0,11.00,4,2,1,0,0
20,Oman vs Scotland,Oman,Ayaan Khan,1,0,20,0,20.00,1,0,3,0,0
21,South Africa vs Bangladesh,Bangladesh,Tanzim Hasan Sakib,4,0,18,3,4.50,17,1,1,2,0
21,South Africa vs Bangladesh,Bangladesh,Taskin Ahmed,4,0,19,2,4.75,14,1,1,0,0
21,South Africa vs Bangladesh,Bangladesh,Mustafizur Rahman,4,0,18,0,4.50,16,1,1,1,0
21,South Africa vs Bangladesh,Bangladesh,Rishad Hossain,4,0,32,1,8.00,10,2,2,0,0
21,South Africa vs Bangladesh,Bangladesh,Shakib Al Hasan,1,0,6,0,6.00,1,0,0,0,0
21,South Africa vs Bangladesh,Bangladesh,Mahmudullah,3,0,17,0,5.66,8,0,1,0,0
21,South Africa vs Bangladesh,South Africa,Marco Jansen,4,0,17,0,4.25,17,2,0,2,0
21,South Africa vs Bangladesh,South Africa,Kagiso Rabada,4,0,19,2,4.75,12,2,0,0,0
21,South Africa vs Bangladesh,South Africa,Ottneil Baartman,4,0,27,0,6.75,11,2,1,0,0
21,South Africa vs Bangladesh,South Africa,Keshav Maharaj,4,0,27,3,6.75,12,0,2,2,0
21,South Africa vs Bangladesh,South Africa,Anrich Nortje,4,0,17,2,4.25,14,1,0,1,1
22,Canada vs Pakistan,Pakistan,Shaheen Shah Afridi,4,0,21,1,5.25,16,2,1,1,0
22,Canada vs Pakistan,Pakistan,Naseem Shah,4,0,24,1,6.00,13,2,1,1,0
22,Canada vs Pakistan,Pakistan,Mohammad Amir,4,0,13,2,3.25,17,2,0,0,0
22,Canada vs Pakistan,Pakistan,Haris Rauf,4,0,26,2,6.50,14,1,1,3,0
22,Canada vs Pakistan,Pakistan,Imad Wasim,4,0,19,0,4.75,16,0,2,1,0
22,Canada vs Pakistan,Canada,Kaleem Sana,3,0,21,0,7.00,8,1,0,1,0
22,Canada vs Pakistan,Canada,Jeremy Gordon,3.3,0,17,1,4.85,11,1,0,1,0
22,Canada vs Pakistan,Canada,Dilon Heyliger,4,0,18,2,4.50,10,0,0,1,0
22,Canada vs Pakistan,Canada,Saad Bin Zafar,4,0,23,0,5.75,7,1,0,1,0
22,Canada vs Pakistan,Canada,Junaid Siddiqui,3,0,28,0,9.33,3,0,2,1,0
24,Namibia vs Australia,Australia,Josh Hazlewood,4,0,18,2,4.50,16,2,0,1,0
24,Namibia vs Australia,Australia,Marcus Stoinis,3,0,9,2,3.00,14,1,0,2,0
24,Namibia vs Australia,Australia,Pat Cummins,3,1,16,1,5.33,11,1,1,0,0
24,Namibia vs Australia,Australia,Adam Zampa,4,0,12,4,3.00,17,0,1,0,0
24,Namibia vs Australia,Australia,Nathan Ellis,3,1,12,1,4.00,13,2,0,0,0
24,Namibia vs Australia,Namibia,Ruben Trumpelmann,2,0,19,0,9.50,5,4,0,0,0
24,Namibia vs Australia,Namibia,David Wiese,1,0,15,1,15.00,3,2,1,1,0
24,Namibia vs Australia,Namibia,Ben Shikongo,1,0,19,0,19.00,1,3,1,0,0
24,Namibia vs Australia,Namibia,Gerhard Erasmus,1,0,6,0,6.00,5,0,1,0,0
24,Namibia vs Australia,Namibia,Jack Brassell,0.4,0,14,0,21.00,1,2,1,0,0
